"activity_id","institution_id","source_id","experiment_id","member_id","table_id","variable_id","grid_label","zstore","dcpp_init_year","version","use"
"CMIP","CAMS","CAMS-CSM1-0","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/CAMS/CAMS-CSM1-0/historical/r1i1p1f1/Amon/tas/gn/v20190708/",NA,20190708,"all"
"ScenarioMIP","CAMS","CAMS-CSM1-0","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp126/r1i1p1f1/Amon/tas/gn/v20190708/",NA,20190708,"all"
"ScenarioMIP","CAMS","CAMS-CSM1-0","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp245/r1i1p1f1/Amon/tas/gn/v20190708/",NA,20190708,"all"
"ScenarioMIP","CAMS","CAMS-CSM1-0","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp370/r1i1p1f1/Amon/tas/gn/v20190708/",NA,20190708,"all"
"DAMIP","NCAR","CESM2","hist-nat","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/DAMIP/NCAR/CESM2/hist-nat/r1i1p1f1/Amon/tas/gn/v20190730/",NA,20190730,"historical"
"CMIP","NCAR","CESM2","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/Amon/tas/gn/v20190308/",NA,20190308,"historical"
"CMIP","NCAR","CESM2","historical","r4i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/NCAR/CESM2/historical/r4i1p1f1/Amon/tas/gn/v20190308/",NA,20190308,"future"
"ScenarioMIP","NCAR","CESM2","ssp126","r4i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCAR/CESM2/ssp126/r4i1p1f1/Amon/tas/gn/v20200528/",NA,20200528,"future"
"ScenarioMIP","NCAR","CESM2","ssp245","r4i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCAR/CESM2/ssp245/r4i1p1f1/Amon/tas/gn/v20200528/",NA,20200528,"future"
"ScenarioMIP","NCAR","CESM2","ssp370","r4i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCAR/CESM2/ssp370/r4i1p1f1/Amon/tas/gn/v20200528/",NA,20200528,"future"
"CMIP","NCAR","CESM2-WACCM","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Amon/tas/gn/v20190227/",NA,20190227,"all"
"ScenarioMIP","NCAR","CESM2-WACCM","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp126/r1i1p1f1/Amon/tas/gn/v20210211/",NA,20210211,"all"
"ScenarioMIP","NCAR","CESM2-WACCM","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp245/r1i1p1f1/Amon/tas/gn/v20190815/",NA,20190815,"all"
"ScenarioMIP","NCAR","CESM2-WACCM","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp370/r1i1p1f1/Amon/tas/gn/v20190815/",NA,20190815,"all"
"DAMIP","CNRM-CERFACS","CNRM-CM6-1","hist-nat","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-nat/r1i1p1f2/Amon/tas/gr/v20190308/",NA,20190308,"all"
"CMIP","CNRM-CERFACS","CNRM-CM6-1","historical","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r1i1p1f2/Amon/tas/gr/v20180917/",NA,20180917,"all"
"ScenarioMIP","CNRM-CERFACS","CNRM-CM6-1","ssp126","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1/ssp126/r1i1p1f2/Amon/tas/gr/v20190219/",NA,20190219,"all"
"ScenarioMIP","CNRM-CERFACS","CNRM-CM6-1","ssp245","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1/ssp245/r1i1p1f2/Amon/tas/gr/v20190219/",NA,20190219,"all"
"ScenarioMIP","CNRM-CERFACS","CNRM-CM6-1","ssp370","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1/ssp370/r1i1p1f2/Amon/tas/gr/v20190219/",NA,20190219,"all"
"CMIP","CNRM-CERFACS","CNRM-ESM2-1","historical","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/Amon/tas/gr/v20181206/",NA,20181206,"all"
"ScenarioMIP","CNRM-CERFACS","CNRM-ESM2-1","ssp126","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp126/r1i1p1f2/Amon/tas/gr/v20190328/",NA,20190328,"all"
"ScenarioMIP","CNRM-CERFACS","CNRM-ESM2-1","ssp245","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp245/r1i1p1f2/Amon/tas/gr/v20190328/",NA,20190328,"all"
"ScenarioMIP","CNRM-CERFACS","CNRM-ESM2-1","ssp370","r1i1p1f2","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp370/r1i1p1f2/Amon/tas/gr/v20191021/",NA,20191021,"all"
"CMIP","CAS","FGOALS-f3-L","historical","r1i1p1f1","Amon","tas","gr","s3://cmip6-pds/CMIP6/CMIP/CAS/FGOALS-f3-L/historical/r1i1p1f1/Amon/tas/gr/v20190927/",NA,20190927,"all"
"ScenarioMIP","CAS","FGOALS-f3-L","ssp126","r1i1p1f1","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CAS/FGOALS-f3-L/ssp126/r1i1p1f1/Amon/tas/gr/v20191013/",NA,20191013,"all"
"ScenarioMIP","CAS","FGOALS-f3-L","ssp245","r1i1p1f1","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CAS/FGOALS-f3-L/ssp245/r1i1p1f1/Amon/tas/gr/v20191013/",NA,20191013,"all"
"ScenarioMIP","CAS","FGOALS-f3-L","ssp370","r1i1p1f1","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/CAS/FGOALS-f3-L/ssp370/r1i1p1f1/Amon/tas/gr/v20191013/",NA,20191013,"all"
"DAMIP","NOAA-GFDL","GFDL-ESM4","hist-nat","r1i1p1f1","Amon","tas","gr1","s3://cmip6-pds/CMIP6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-nat/r1i1p1f1/Amon/tas/gr1/v20180701/",NA,20180701,"all"
"CMIP","NOAA-GFDL","GFDL-ESM4","historical","r1i1p1f1","Amon","tas","gr1","s3://cmip6-pds/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/",NA,20190726,"all"
"ScenarioMIP","NOAA-GFDL","GFDL-ESM4","ssp126","r1i1p1f1","Amon","tas","gr1","s3://cmip6-pds/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp126/r1i1p1f1/Amon/tas/gr1/v20180701/",NA,20180701,"all"
"ScenarioMIP","NOAA-GFDL","GFDL-ESM4","ssp245","r1i1p1f1","Amon","tas","gr1","s3://cmip6-pds/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Amon/tas/gr1/v20180701/",NA,20180701,"all"
"ScenarioMIP","NOAA-GFDL","GFDL-ESM4","ssp370","r1i1p1f1","Amon","tas","gr1","s3://cmip6-pds/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/Amon/tas/gr1/v20180701/",NA,20180701,"all"
"CMIP","NASA-GISS","GISS-E2-1-G","historical","r1i1p3f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r1i1p3f1/Amon/tas/gn/v20190702/",NA,20190702,"future"
"ScenarioMIP","NASA-GISS","GISS-E2-1-G","ssp126","r1i1p3f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r1i1p3f1/Amon/tas/gn/v20200115/",NA,20200115,"future"
"ScenarioMIP","NASA-GISS","GISS-E2-1-G","ssp245","r1i1p3f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp245/r1i1p3f1/Amon/tas/gn/v20200115/",NA,20200115,"future"
"ScenarioMIP","NASA-GISS","GISS-E2-1-G","ssp370","r1i1p3f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp370/r1i1p3f1/Amon/tas/gn/v20200115/",NA,20200115,"future"
"DAMIP","NASA-GISS","GISS-E2-1-G","hist-nat","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/DAMIP/NASA-GISS/GISS-E2-1-G/hist-nat/r1i1p1f2/Amon/tas/gn/v20191126/",NA,20191126,"historical"
"CMIP","NASA-GISS","GISS-E2-1-G","historical","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/historical/r1i1p1f2/Amon/tas/gn/v20190903/",NA,20190903,"historical"
"CMIP","NASA-GISS","GISS-E2-1-H","historical","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/historical/r1i1p1f2/Amon/tas/gn/v20191003/",NA,20191003,"all"
"ScenarioMIP","NASA-GISS","GISS-E2-1-H","ssp126","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-H/ssp126/r1i1p1f2/Amon/tas/gn/v20200115/",NA,20200115,"all"
"ScenarioMIP","NASA-GISS","GISS-E2-1-H","ssp245","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-H/ssp245/r1i1p1f2/Amon/tas/gn/v20200115/",NA,20200115,"all"
"ScenarioMIP","NASA-GISS","GISS-E2-1-H","ssp370","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-H/ssp370/r1i1p1f2/Amon/tas/gn/v20200115/",NA,20200115,"all"
"CMIP","CCCR-IITM","IITM-ESM","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/CCCR-IITM/IITM-ESM/historical/r1i1p1f1/Amon/tas/gn/v20191226/",NA,20191226,"all"
"ScenarioMIP","CCCR-IITM","IITM-ESM","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CCCR-IITM/IITM-ESM/ssp126/r1i1p1f1/Amon/tas/gn/v20201112/",NA,20201112,"all"
"ScenarioMIP","CCCR-IITM","IITM-ESM","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CCCR-IITM/IITM-ESM/ssp245/r1i1p1f1/Amon/tas/gn/v20200915/",NA,20200915,"all"
"ScenarioMIP","CCCR-IITM","IITM-ESM","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CCCR-IITM/IITM-ESM/ssp370/r1i1p1f1/Amon/tas/gn/v20200915/",NA,20200915,"all"
"CMIP","NIMS-KMA","KACE-1-0-G","historical","r1i1p1f1","Amon","tas","gr","s3://cmip6-pds/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/historical/r1i1p1f1/Amon/tas/gr/v20191028/",NA,20191028,"all"
"ScenarioMIP","NIMS-KMA","KACE-1-0-G","ssp126","r1i1p1f1","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/NIMS-KMA/KACE-1-0-G/ssp126/r1i1p1f1/Amon/tas/gr/v20191007/",NA,20191007,"all"
"ScenarioMIP","NIMS-KMA","KACE-1-0-G","ssp245","r1i1p1f1","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/NIMS-KMA/KACE-1-0-G/ssp245/r1i1p1f1/Amon/tas/gr/v20191217/",NA,20191217,"all"
"ScenarioMIP","NIMS-KMA","KACE-1-0-G","ssp370","r1i1p1f1","Amon","tas","gr","s3://cmip6-pds/CMIP6/ScenarioMIP/NIMS-KMA/KACE-1-0-G/ssp370/r1i1p1f1/Amon/tas/gr/v20191217/",NA,20191217,"all"
"CMIP","UA","MCM-UA-1-0","historical","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/UA/MCM-UA-1-0/historical/r1i1p1f2/Amon/tas/gn/v20190731/",NA,20190731,"all"
"ScenarioMIP","UA","MCM-UA-1-0","ssp126","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/tas/gn/v20190731/",NA,20190731,"all"
"ScenarioMIP","UA","MCM-UA-1-0","ssp245","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/UA/MCM-UA-1-0/ssp245/r1i1p1f2/Amon/tas/gn/v20190731/",NA,20190731,"all"
"ScenarioMIP","UA","MCM-UA-1-0","ssp370","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/UA/MCM-UA-1-0/ssp370/r1i1p1f2/Amon/tas/gn/v20190731/",NA,20190731,"all"
"CMIP","MIROC","MIROC-ES2L","historical","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/MIROC/MIROC-ES2L/historical/r1i1p1f2/Amon/tas/gn/v20190823/",NA,20190823,"all"
"ScenarioMIP","MIROC","MIROC-ES2L","ssp126","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MIROC/MIROC-ES2L/ssp126/r1i1p1f2/Amon/tas/gn/v20190823/",NA,20190823,"all"
"ScenarioMIP","MIROC","MIROC-ES2L","ssp245","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MIROC/MIROC-ES2L/ssp245/r1i1p1f2/Amon/tas/gn/v20190823/",NA,20190823,"all"
"ScenarioMIP","MIROC","MIROC-ES2L","ssp370","r1i1p1f2","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/MIROC/MIROC-ES2L/ssp370/r1i1p1f2/Amon/tas/gn/v20190823/",NA,20190823,"all"
"DAMIP","MIROC","MIROC6","hist-nat","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/DAMIP/MIROC/MIROC6/hist-nat/r1i1p1f1/Amon/tas/gn/v20191114/",NA,20191114,"all"
"CMIP","MIROC","MIROC6","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/MIROC/MIROC6/historical/r1i1p1f1/Amon/tas/gn/v20181212/",NA,20181212,"all"
